NThreads,Average_Time_Per_Thread(ms),Time(ms)
1,0.094891,0.094891
1,0.512838,0.512838
1,0.074863,0.074863
1,0.067949,0.067949
1,0.091791,0.091791
2,0.060081,0.120163
2,0.042915,0.085831
2,0.070572,0.141144
2,0.270486,0.540972
2,0.051022,0.102043
4,0.325799,1.303196
4,0.040770,0.163078
4,0.038266,0.153065
4,0.039041,0.156164
4,0.045240,0.180960
6,0.065486,0.392914
6,0.046333,0.277996
6,0.035167,0.211000
6,0.027299,0.163794
6,0.028690,0.172138
8,0.078499,0.627995
8,0.036001,0.288010
8,0.028014,0.224113
8,0.027388,0.219107
8,0.035852,0.286818
10,0.027990,0.279903
10,0.023913,0.239134
10,0.025606,0.256062
10,0.024796,0.247955
10,0.026202,0.262022
12,0.024498,0.293970
12,0.024418,0.293016
12,0.026484,0.317812
12,0.023683,0.284195
12,0.030994,0.371933
14,0.025204,0.352859
14,0.028866,0.404119
14,0.023791,0.333071
14,0.024710,0.345945
14,0.025851,0.361919
16,0.028059,0.448942
16,0.031680,0.506878
16,0.036865,0.589848
16,0.023618,0.377893
16,0.026748,0.427961
18,0.023617,0.425100
18,0.027882,0.501871
18,0.028173,0.507116
18,0.023723,0.427008
18,0.101394,1.825094
20,0.025105,0.502110
20,0.032806,0.656128
20,0.022304,0.446081
20,0.023258,0.465155
20,0.024247,0.484943
22,0.028318,0.622988
22,0.022910,0.504017
22,0.023354,0.513792
22,0.024546,0.540018
22,0.022000,0.483990
24,0.029792,0.715017
24,0.023921,0.574112
24,0.024756,0.594139
24,0.025878,0.621080
24,0.023464,0.563145
26,0.027657,0.719070
26,0.025116,0.653028
26,0.025997,0.675917
26,0.023768,0.617981
26,0.025153,0.653982
28,0.024932,0.698090
28,0.026788,0.750065
28,0.025681,0.719070
28,0.034750,0.972986
28,0.023357,0.653982
30,0.023405,0.702143
30,0.023301,0.699043
30,0.021903,0.657082
30,0.023603,0.708103
30,0.023866,0.715971
32,0.025406,0.813007
32,0.022784,0.729084
32,0.024028,0.768900
32,0.025943,0.830173
32,0.024587,0.786781
34,0.024915,0.847101
34,0.024206,0.823021
34,0.022264,0.756979
34,0.024676,0.838995
34,0.022446,0.763178
36,0.024305,0.874996
36,0.023610,0.849962
36,0.022643,0.815153
36,0.021835,0.786066
36,0.024802,0.892878
38,0.022976,0.873089
38,0.025078,0.952959
38,0.022606,0.859022
38,0.023026,0.874996
38,0.021000,0.797987
40,0.029802,1.192093
40,0.022078,0.883102
40,0.023729,0.949144
40,0.025374,1.014948
40,0.024849,0.993967
42,0.022905,0.962019
42,0.024835,1.043081
42,0.023666,0.993967
42,0.024761,1.039982
42,0.027452,1.152992
44,0.028887,1.271009
44,0.022368,0.984192
44,0.026995,1.187801
44,0.023706,1.043081
44,0.021821,0.960112
46,0.032783,1.507998
46,0.022308,1.026154
46,0.023935,1.101017
46,0.025065,1.152992
46,0.024889,1.144886
48,0.024542,1.178026
48,0.027046,1.298189
48,0.024398,1.171112
48,0.025690,1.233101
48,0.025084,1.204014
50,0.025558,1.277924
50,0.025721,1.286030
50,0.026660,1.332998
50,0.027661,1.383066
50,0.025158,1.257896
52,0.023961,1.245975
52,0.028812,1.498222
52,0.025882,1.345873
52,0.024979,1.298904
52,0.022269,1.157999
54,0.026261,1.418114
54,0.034946,1.887083
54,0.039260,2.120018
54,0.023926,1.291990
54,0.025188,1.360178
56,0.024804,1.389027
56,0.026409,1.478910
56,0.024161,1.353025
56,0.023212,1.299858
56,0.024557,1.375198
58,0.024187,1.402855
58,0.024241,1.405954
58,0.025947,1.504898
58,0.022777,1.321077
58,0.026744,1.551151
60,0.024664,1.479864
60,0.026015,1.560926
60,0.025968,1.558065
60,0.024684,1.481056
60,0.024350,1.461029
62,0.024692,1.530886
62,0.023111,1.432896
62,0.021985,1.363039
62,0.022934,1.421928
62,0.023434,1.452923
64,0.022560,1.443863
64,0.021894,1.401186
64,0.023749,1.519918
64,0.022124,1.415968
64,0.021737,1.391172
