NThreads,Average_Time_Per_Thread(ms),Time(ms)
1,0.097036,0.097036
2,0.042558,0.085115
4,0.028491,0.113964
6,0.031670,0.190020
8,0.032008,0.256062
10,0.087214,0.872135
12,0.033995,0.407934
14,0.068562,0.959873
16,0.026688,0.427008
18,0.027842,0.501156
20,0.077403,1.548052
22,0.139995,3.079891
24,0.174294,4.183054
26,0.029078,0.756025
28,0.054496,1.525879
30,0.037360,1.120806
32,0.026129,0.836134
34,0.024880,0.845909
36,0.023855,0.858784
38,0.026075,0.990868
40,0.027525,1.101017
42,0.025358,1.065016
44,0.022704,0.998974
46,0.026433,1.215935
48,0.063916,3.067970
50,0.027442,1.372099
52,0.026960,1.401901
54,0.086740,4.683971
56,0.026788,1.500130
58,0.028343,1.643896
60,0.024649,1.478910
62,0.024276,1.505136
64,0.026908,1.722097
