MutualExclusion,NThreads,val_a,val_b,nRectangles/Sub-Intervals,Result,Time(ms)
./trap_mutex,1,2.000000,242.000000,12,4740160.000000,0.122070
./trap_mutex,1,2.000000,242.000000,12,4740160.000000,0.068903
./trap_mutex,1,2.000000,242.000000,12,4740160.000000,0.069857
./trap_mutex,1,2.000000,242.000000,12,4740160.000000,0.072002
./trap_mutex,1,2.000000,242.000000,12,4740160.000000,0.084877
./trap_mutex,2,2.000000,242.000000,12,4740160.000000,0.108004
./trap_mutex,2,2.000000,242.000000,12,4740160.000000,0.107050
./trap_mutex,2,2.000000,242.000000,12,4740160.000000,0.092030
./trap_mutex,2,2.000000,242.000000,12,4740160.000000,0.087976
./trap_mutex,2,2.000000,242.000000,12,4740160.000000,0.081062
./trap_mutex,4,2.000000,242.000000,12,4740160.000000,0.122070
./trap_mutex,4,2.000000,242.000000,12,4740160.000000,0.219107
./trap_mutex,4,2.000000,242.000000,12,4740160.000000,0.134945
./trap_mutex,4,2.000000,242.000000,12,4740160.000000,0.117064
./trap_mutex,4,2.000000,242.000000,12,4740160.000000,0.127792
./trap_mutex,6,2.000000,242.000000,12,4740160.000000,0.178099
./trap_mutex,6,2.000000,242.000000,12,4740160.000000,0.185966
./trap_mutex,6,2.000000,242.000000,12,4740160.000000,0.247955
./trap_mutex,6,2.000000,242.000000,12,4740160.000000,0.181913
./trap_mutex,6,2.000000,242.000000,12,4740160.000000,0.216961
./trap_mutex,8,2.000000,242.000000,12,1427840.000000,1.317024
./trap_mutex,8,2.000000,242.000000,12,1427840.000000,0.200987
./trap_mutex,8,2.000000,242.000000,12,1427840.000000,0.352144
./trap_mutex,8,2.000000,242.000000,12,1427840.000000,0.210047
./trap_mutex,8,2.000000,242.000000,12,1427840.000000,0.236034
./trap_mutex,10,2.000000,242.000000,12,2760800.000000,0.290871
./trap_mutex,10,2.000000,242.000000,12,2760800.000000,0.248909
./trap_mutex,10,2.000000,242.000000,12,2760800.000000,0.270128
./trap_mutex,10,2.000000,242.000000,12,2760800.000000,0.301838
./trap_mutex,10,2.000000,242.000000,12,2760800.000000,0.283957
./trap_mutex,12,2.000000,242.000000,12,4740160.000000,0.384808
./trap_mutex,12,2.000000,242.000000,12,4740160.000000,0.396967
./trap_mutex,12,2.000000,242.000000,12,4740160.000000,0.303030
./trap_mutex,12,2.000000,242.000000,12,4740160.000000,0.293016
./trap_mutex,12,2.000000,242.000000,12,4740160.000000,0.288963
./trap_mutex,14,2.000000,242.000000,12,1120.000000,0.351906
./trap_mutex,14,2.000000,242.000000,12,1120.000000,0.362873
./trap_mutex,14,2.000000,242.000000,12,1120.000000,0.350952
./trap_mutex,14,2.000000,242.000000,12,1120.000000,0.349045
./trap_mutex,14,2.000000,242.000000,12,1120.000000,0.406981
./trap_mutex,16,2.000000,242.000000,12,1280.000000,0.478029
./trap_mutex,16,2.000000,242.000000,12,1280.000000,0.535011
./trap_mutex,16,2.000000,242.000000,12,1280.000000,0.437975
./trap_mutex,16,2.000000,242.000000,12,1280.000000,0.563860
./trap_mutex,16,2.000000,242.000000,12,1280.000000,0.401020
./trap_mutex,18,2.000000,242.000000,12,1440.000000,0.495195
./trap_mutex,18,2.000000,242.000000,12,1440.000000,0.466824
./trap_mutex,18,2.000000,242.000000,12,1440.000000,0.485182
./trap_mutex,18,2.000000,242.000000,12,1440.000000,0.545025
./trap_mutex,18,2.000000,242.000000,12,1440.000000,0.501871
./trap_mutex,20,2.000000,242.000000,12,1600.000000,0.496149
./trap_mutex,20,2.000000,242.000000,12,1600.000000,0.513077
./trap_mutex,20,2.000000,242.000000,12,1600.000000,0.476122
./trap_mutex,20,2.000000,242.000000,12,1600.000000,0.553131
./trap_mutex,20,2.000000,242.000000,12,1600.000000,0.634909
./trap_mutex,22,2.000000,242.000000,12,1760.000000,1.405954
./trap_mutex,22,2.000000,242.000000,12,1760.000000,1.091003
./trap_mutex,22,2.000000,242.000000,12,1760.000000,0.756025
./trap_mutex,22,2.000000,242.000000,12,1760.000000,2.099037
./trap_mutex,22,2.000000,242.000000,12,1760.000000,1.572132
./trap_mutex,24,2.000000,242.000000,12,1920.000000,0.745058
./trap_mutex,24,2.000000,242.000000,12,1920.000000,0.719070
./trap_mutex,24,2.000000,242.000000,12,1920.000000,0.730038
./trap_mutex,24,2.000000,242.000000,12,1920.000000,0.582933
./trap_mutex,24,2.000000,242.000000,12,1920.000000,0.669003
./trap_mutex,26,2.000000,242.000000,12,2080.000000,0.730991
./trap_mutex,26,2.000000,242.000000,12,2080.000000,0.620842
./trap_mutex,26,2.000000,242.000000,12,2080.000000,0.731945
./trap_mutex,26,2.000000,242.000000,12,2080.000000,0.642061
./trap_mutex,26,2.000000,242.000000,12,2080.000000,0.649929
./trap_mutex,28,2.000000,242.000000,12,2240.000000,0.631094
./trap_mutex,28,2.000000,242.000000,12,2240.000000,0.835896
./trap_mutex,28,2.000000,242.000000,12,2240.000000,1.098871
./trap_mutex,28,2.000000,242.000000,12,2240.000000,0.961065
./trap_mutex,28,2.000000,242.000000,12,2240.000000,0.648022
./trap_mutex,30,2.000000,242.000000,12,2400.000000,0.679016
./trap_mutex,30,2.000000,242.000000,12,2400.000000,0.801086
./trap_mutex,30,2.000000,242.000000,12,2400.000000,0.804186
./trap_mutex,30,2.000000,242.000000,12,2400.000000,0.807047
./trap_mutex,30,2.000000,242.000000,12,2400.000000,0.754118
./trap_mutex,32,2.000000,242.000000,12,2560.000000,0.743151
./trap_mutex,32,2.000000,242.000000,12,2560.000000,0.984907
./trap_mutex,32,2.000000,242.000000,12,2560.000000,0.960112
./trap_mutex,32,2.000000,242.000000,12,2560.000000,0.738144
./trap_mutex,32,2.000000,242.000000,12,2560.000000,0.950098
./trap_mutex,34,2.000000,242.000000,12,2720.000000,1.908064
./trap_mutex,34,2.000000,242.000000,12,2720.000000,1.192808
./trap_mutex,34,2.000000,242.000000,12,2720.000000,0.785828
./trap_mutex,34,2.000000,242.000000,12,2720.000000,0.855923
./trap_mutex,34,2.000000,242.000000,12,2720.000000,0.772953
./trap_mutex,36,2.000000,242.000000,12,2880.000000,0.892162
./trap_mutex,36,2.000000,242.000000,12,2880.000000,1.155853
./trap_mutex,36,2.000000,242.000000,12,2880.000000,0.835180
./trap_mutex,36,2.000000,242.000000,12,2880.000000,0.815868
./trap_mutex,36,2.000000,242.000000,12,2880.000000,0.849009
./trap_mutex,38,2.000000,242.000000,12,3040.000000,0.915051
./trap_mutex,38,2.000000,242.000000,12,3040.000000,0.999928
./trap_mutex,38,2.000000,242.000000,12,3040.000000,1.337051
./trap_mutex,38,2.000000,242.000000,12,3040.000000,0.974894
./trap_mutex,38,2.000000,242.000000,12,3040.000000,1.235962
./trap_mutex,40,2.000000,242.000000,12,3200.000000,1.398087
./trap_mutex,40,2.000000,242.000000,12,3200.000000,0.932932
./trap_mutex,40,2.000000,242.000000,12,3200.000000,1.071930
./trap_mutex,40,2.000000,242.000000,12,3200.000000,1.057148
./trap_mutex,40,2.000000,242.000000,12,3200.000000,0.890017
./trap_mutex,42,2.000000,242.000000,12,3360.000000,0.970125
./trap_mutex,42,2.000000,242.000000,12,3360.000000,1.039982
./trap_mutex,42,2.000000,242.000000,12,3360.000000,1.025915
./trap_mutex,42,2.000000,242.000000,12,3360.000000,0.934839
./trap_mutex,42,2.000000,242.000000,12,3360.000000,1.128912
./trap_mutex,44,2.000000,242.000000,12,3520.000000,1.210928
./trap_mutex,44,2.000000,242.000000,12,3520.000000,1.011848
./trap_mutex,44,2.000000,242.000000,12,3520.000000,1.112938
./trap_mutex,44,2.000000,242.000000,12,3520.000000,0.962973
./trap_mutex,44,2.000000,242.000000,12,3520.000000,1.107216
./trap_mutex,46,2.000000,242.000000,12,3680.000000,1.163006
./trap_mutex,46,2.000000,242.000000,12,3680.000000,1.116991
./trap_mutex,46,2.000000,242.000000,12,3680.000000,1.026869
./trap_mutex,46,2.000000,242.000000,12,3680.000000,1.075029
./trap_mutex,46,2.000000,242.000000,12,3680.000000,1.081944
./trap_mutex,48,2.000000,242.000000,12,3840.000000,1.077175
./trap_mutex,48,2.000000,242.000000,12,3840.000000,1.364946
./trap_mutex,48,2.000000,242.000000,12,3840.000000,1.354933
./trap_mutex,48,2.000000,242.000000,12,3840.000000,1.245022
./trap_mutex,48,2.000000,242.000000,12,3840.000000,1.197100
./trap_mutex,50,2.000000,242.000000,12,4000.000000,1.157999
./trap_mutex,50,2.000000,242.000000,12,4000.000000,1.150131
./trap_mutex,50,2.000000,242.000000,12,4000.000000,1.137018
./trap_mutex,50,2.000000,242.000000,12,4000.000000,1.353025
./trap_mutex,50,2.000000,242.000000,12,4000.000000,1.307011
./trap_mutex,52,2.000000,242.000000,12,4160.000000,1.646042
./trap_mutex,52,2.000000,242.000000,12,4160.000000,1.223087
./trap_mutex,52,2.000000,242.000000,12,4160.000000,1.186848
./trap_mutex,52,2.000000,242.000000,12,4160.000000,1.399040
./trap_mutex,52,2.000000,242.000000,12,4160.000000,1.398087
./trap_mutex,54,2.000000,242.000000,12,4320.000000,1.590967
./trap_mutex,54,2.000000,242.000000,12,4320.000000,1.667023
./trap_mutex,54,2.000000,242.000000,12,4320.000000,1.296043
./trap_mutex,54,2.000000,242.000000,12,4320.000000,1.616001
./trap_mutex,54,2.000000,242.000000,12,4320.000000,1.337051
./trap_mutex,56,2.000000,242.000000,12,4480.000000,1.541853
./trap_mutex,56,2.000000,242.000000,12,4480.000000,1.549006
./trap_mutex,56,2.000000,242.000000,12,4480.000000,1.610041
./trap_mutex,56,2.000000,242.000000,12,4480.000000,1.287937
./trap_mutex,56,2.000000,242.000000,12,4480.000000,1.489878
./trap_mutex,58,2.000000,242.000000,12,4640.000000,1.372099
./trap_mutex,58,2.000000,242.000000,12,4640.000000,1.369953
./trap_mutex,58,2.000000,242.000000,12,4640.000000,1.685858
./trap_mutex,58,2.000000,242.000000,12,4640.000000,1.393080
./trap_mutex,58,2.000000,242.000000,12,4640.000000,1.494884
./trap_mutex,60,2.000000,242.000000,12,4800.000000,1.409054
./trap_mutex,60,2.000000,242.000000,12,4800.000000,1.369953
./trap_mutex,60,2.000000,242.000000,12,4800.000000,1.415014
./trap_mutex,60,2.000000,242.000000,12,4800.000000,1.362085
./trap_mutex,60,2.000000,242.000000,12,4800.000000,1.533031
./trap_mutex,62,2.000000,242.000000,12,4960.000000,1.804113
./trap_mutex,62,2.000000,242.000000,12,4960.000000,1.446009
./trap_mutex,62,2.000000,242.000000,12,4960.000000,1.734972
./trap_mutex,62,2.000000,242.000000,12,4960.000000,1.652002
./trap_mutex,62,2.000000,242.000000,12,4960.000000,1.487970
./trap_mutex,64,2.000000,242.000000,12,5120.000000,1.539946
./trap_mutex,64,2.000000,242.000000,12,5120.000000,2.089977
./trap_mutex,64,2.000000,242.000000,12,5120.000000,1.618147
./trap_mutex,64,2.000000,242.000000,12,5120.000000,1.594067
./trap_mutex,64,2.000000,242.000000,12,5120.000000,1.665115
