MutualExclusion,NThreads,val_a,val_b,nRectangles/Sub-Intervals,Result,Time(ms)
./trap_semaphore,1,20.000000,40.000000,12,18675.925926,0.913143
./trap_semaphore,2,20.000000,40.000000,12,18675.925926,0.128984
./trap_semaphore,4,20.000000,40.000000,12,18675.925926,0.160933
./trap_semaphore,6,20.000000,40.000000,12,18675.925926,0.838995
./trap_semaphore,8,20.000000,40.000000,12,9685.185185,0.302076
./trap_semaphore,10,20.000000,40.000000,12,13773.148148,0.315189
./trap_semaphore,12,20.000000,40.000000,12,18675.925926,0.390053
./trap_semaphore,14,20.000000,40.000000,12,9333.333333,0.377893
./trap_semaphore,16,20.000000,40.000000,12,10666.666667,0.469923
./trap_semaphore,18,20.000000,40.000000,12,12000.000000,0.669956
./trap_semaphore,20,20.000000,40.000000,12,13333.333333,0.514030
./trap_semaphore,22,20.000000,40.000000,12,14666.666667,0.500917
./trap_semaphore,24,20.000000,40.000000,12,16000.000000,0.545979
./trap_semaphore,26,20.000000,40.000000,12,17333.333333,0.697136
./trap_semaphore,28,20.000000,40.000000,12,18666.666667,0.829935
./trap_semaphore,30,20.000000,40.000000,12,20000.000000,0.775099
./trap_semaphore,32,20.000000,40.000000,12,21333.333333,0.767946
./trap_semaphore,34,20.000000,40.000000,12,22666.666667,0.786066
./trap_semaphore,36,20.000000,40.000000,12,24000.000000,0.861168
./trap_semaphore,38,20.000000,40.000000,12,25333.333333,0.891924
./trap_semaphore,40,20.000000,40.000000,12,26666.666667,1.004934
./trap_semaphore,42,20.000000,40.000000,12,28000.000000,0.960112
./trap_semaphore,44,20.000000,40.000000,12,29333.333333,1.219988
./trap_semaphore,46,20.000000,40.000000,12,30666.666667,1.074791
./trap_semaphore,48,20.000000,40.000000,12,32000.000000,1.234055
./trap_semaphore,50,20.000000,40.000000,12,33333.333333,1.266003
./trap_semaphore,52,20.000000,40.000000,12,34666.666667,1.209021
./trap_semaphore,54,20.000000,40.000000,12,36000.000000,1.279116
./trap_semaphore,56,20.000000,40.000000,12,37333.333333,1.276016
./trap_semaphore,58,20.000000,40.000000,12,38666.666667,1.623869
./trap_semaphore,60,20.000000,40.000000,12,40000.000000,1.459122
./trap_semaphore,62,20.000000,40.000000,12,41333.333333,2.157927
./trap_semaphore,64,20.000000,40.000000,12,42666.666667,1.468897
